Gamma Energy (KeV),Nuclide,Half-Life,Half-Life Unit,Percent Yield per decay
22,Sm-151,87,years,4
40,I-129,17000000,years,9
47,Pb-210,21,years,4
60,Am-241,458,years,36
80,Ba-133,10.51,years,36
84,Th-228,1.9,years,1.6
87,Eu-155,1.81,years,32
105,Eu-155,1.81,years,20
122,Eu-152,12,years,37
123,Eu-154,16,years,38
143,U-235,710000000,years,11
185,U-235,710000000,years,54
186,Ra-226,1602,years,4
344,Eu-152,12,years,27
356,Ba-133,10.51,years,69
427,Sb-125,2.7,years,31
511.0034,Na-22,2.6,years,180
514,Kr-85,10.76,years,0.41
570,Bi-207,30,years,98
599,Sb-125,2.7,years,24
605,Cs-134,2.05,years,98
661.64,Cs-137,30,years,85
796,Cs-134,2.05,years,99
1063,Bi-207,30,years,77
1173.2,Co-60,5.26,years,100
1274.5,Na-22,2.6,years,100
1278,Eu-154,16,years,37
1332.5,Co-60,5.26,years,100
1408,Eu-152,12,years,22
1460,K-40,1290000000,years,11
