Gamma Energy (KeV),Nuclide,Half-Life,Half-Life Unit,Percent Yield per decay
8,Er-169,9.4,days,0.3
22,Sm-151,87,years,4
24,Sn-199m,250,days,16
30,Ba-140,12.8,days,11
31,Mg-28,21,hours,96
35,I-125,60,days,7
35,Te-125m,58,days,7
37,Br-80m,4.38,hours,36
40,Rh-103m,57,minutes,0.4
40,I-129,17000000,years,9
47,Pb-210,21,years,4
51,Rh-104m,4.41,minutes,47
53,Te-132,78,hours,17
58,Gd-159,18,hours,3
58,Dy-159,144,days,4
59,Te-127m,109,days,0.19
60,Am-241,458,years,36
63,Yb-169,32,days,45
63,Th-234,24.1,days,3.5
68,Ta-182,115,days,42
68,Ti-44,48,hours,90
70,Sm-153,47,hours,5.4
77,Pt-197,18,hours,20
77,Hg-197,65,hours,18
78,Ti-44,48,hours,98
80,Ba-133,10.51,years,36
81,Ho-166,26.9,hours,5.4
81,Xe-133,5.27,days,37
84,Tm-170,130,days,3.3
84,Th-228,1.9,years,1.6
87,Eu-155,1.81,years,32
88,Lu-176m,3.7,hours,10
88,Cd-109,453,days,5
88,Ag-109m,40,seconds,5
88,Pd109,13.47,hours,5
88,Ag-109m,40,seconds,5
91,Nd-147,11.1,days,28
93,Th-234,24.1,days,4
95,Dy-165,139.2,minutes,4
99,Gd-153,242,days,55
99,Au-195,183,days,10
100,Pa-234,6.75,hours,50
103,Sm-153,47,hours,28
104,Sm-155,23,minutes,73
105,Eu-155,1.81,years,20
113,Lu-177,6.7,days,2.8
122,Co-57,270,days,87
122,Eu-152,12,years,37
123,Eu-154,16,years,38
124,Ba-131,12,days,28
128,Cs-134m,2.9,hours,14
129,Os-191,15,days,25
133,Hf-181,42.5,days,48
134,Ce-144,284,days,11
136,Hg-197m,24,hours,42
137,Re-186,90,hours,9
140,Tc-99m,6,hours,90
143,U-235,710000000,years,11
145,Ce-141,33,days,48
147,Ta-182m,16.5,minutes,40
150,Te-131,25,minutes,68
150,Cd-111m,48.6,minutes,30
150,Kr-85m,4.4,hours,74
155,Re-188,16.7,hours,10
158,Au-199,75.6,hours,37
163,Ba-140,12.8,days,6
164,Xe-131m,11.8,days,2
166,Ba-139,82.9,minutes,23
172,Ta-182m,16.5,minutes,40
185,U-235,710000000,years,54
186,Ra-226,1602,years,4
191,Mo-101,14.6,minutes,25
191,Pt-197,18,hours,6
192,In-114m,50,days,17
198,Yb-169,32,days,35
208,Lu-177,6.7,days,6.1
210,Ge-77,11.3,hours,61
215,Hf-180m,5.5,hours,82
215,Ru-97,2.9,days,91
230,Te-132,78,hours,90
233,Xe-133m,2.26,days,14
239,Pb-212,10.64,hours,47
239,As-77,38.7,hours,2.5
246,Sm-155,23,minutes,4
247,Cd-111m,48.6,minutes,94
250,Xe-135,9.2,hours,91
255,Sn-133,115,days,1.8
263,Ge-77,11.3,hours,45
265,Ge-75,82,minutes,11
265,Se-75,120.4,days,60
279,Hg-203,46.9,days,77
284,I-131,8.05,days,5.4
286,Pm-149,53.1,hours,2
293,Ce-143,33,hours,46
295,Pb-214,26.8,minutes,19
299,Tb-160,72.1,days,30
305,Kr-85m,4.4,hours,13
307,Tc-101,14,minutes,91
308,Er-171,7.52,hours,63
310,Pa-233,27,days,44
317,Ir-192,74.2,days,81
319,Nd-147,11.1,days,3
320,Cr-51,27.8,days,9
325,Sn-125m,9.7,minutes,97
328,Ir-194,17.4,hours,10
333,Hf-180m,5.5,hours,93
335,Cd-115,53.5,hours,50
335,In-115m,4.5,hours,50
342,Ag-111,7.5,days,6
344,Eu-152,12,years,27
351,Bi-211,2.15,minutes,14
352,Pb-214,26.8,minutes,36
356,Ba-133,10.51,years,69
360,Se-83,25,minutes,69
362,Pd-103,17,days,0.06
363,Gd-159,18,hours,9
364,I-131,8.05,days,82
368,Ni-65,2.56,hours,4.5
388,Sr-87m,2.83,hours,80
393,Sn-113,115,days,64
393,In-133m,100,minutes,64
403,Kr-87,76,minutes,84
405,Pb-211,36.1,minutes,3.4
412,Au-198,2.698,days,95
427,Sb-125,2.7,years,31
439,Zn-69m,13.8,hours,95
441,I-128,25,minutes,14
444,Hf-180m,5.5,hours,80
468,Ir-192,74.2,days,49
477,Be-7,53,days,10.3
479,W-187,23.9,hours,23
482,Hf-181,42.5,hours,81
487,La-140,40.22,hours,40
490,Cd-115,53.5,hours,10
496,Ba-131,12,days,48
497,Ru-103,39.6,days,88
511,Cu-64,12.8,hours,38
511,Ga-68,68.3,minutes,176
511,As-74,17.9,days,59
511.0034,Na-22,2.6,years,180
512,Ru-106,367,days,21
512,Rh-106,30,seconds,21
514,Sr-85,64,days,100
514,Kr-85,10.76,years,0.41
520,Se083,25,minutes,59
527,Xe-135m,15.6,minutes,80
530,I-133,21,hours,90
530,Cd-115,53.5,hours,26
533,Nd-147,11.1,days,13
537,Ba-140,12.8,days,34
538,I-130,12.4,hours,99
554,Br-82,35.34,hours,66
559,As-76,26.5,hours,43
564,Sb-122,67,hours,66
570,Bi-207,30,years,98
583,Tl-208,3.1,minutes,86
596,As-74,17.9,days,61
599,Sb-125,2.7,years,24
603,Sb-125,60,days,97
605,Cs-134,2.05,years,98
609,Bi-214,19.7,minutes,47
619,Br-82,35.34,hours,41
637,I-131,8.05,days,6.8
658,Ag-110m,253,days,96
658,Ag-110,24.4,seconds,4.5
661.64,Cs-137,30,years,85
661.64,Ba-137m,2.55,minutes,85
669,I-130,12.4,hours,100
670,I-132,2.3,hours,144
686,W-187,23.9,hours,27
695,Pr-144,17.3,minutes,1.5
697,Te-129m,34,days,6
724,Zr-95,65,days,49
726,Ru-105,4.44,hours,48
727,Bi-212,60.6,minutes,7
740,Mo-99,67,hours,12
743,I-130,12.4,hours,87
747,Zr-97,17,hours,92
747,Nb-97m,60,seconds,92
748,Sr-91,9.67,hours,27
756,Zr-95,65,days,49
765,Nb-95,35,days,100
773,I-132,2.3,hours,89
777,Br-82,35.34,hours,83
780,Te-131m,30,hours,60
796,Cs-134,2.05,years,99
810,Co-58,71.3,days,99
832,Pb-211,36.1,minutes,3.4
834.827,Mn-54,303,days,100
835,Ga-72,14.1,hours,96
837,Mn-56,2.58,hours,99
850,Te-131m,30,hours,31
879,Tb-160,72.1,days,31
885,Ag-110m,253,days,71
889,Sc-46,83.9,days,100
898,Rb-88,17.8,minutes,13
900,Pa-234,6.75,hours,70
935,Cd-115m,43,days,1.9
966,Tb-160,72.1,days,31
1020,Mo-101,14.6,minutes,25
1025,Sr-91,9.67,hours,30
1063,Bi-207,30,years,77
1078,Ba-68,68.3,minutes,3.5
1095,Fe-59,45,days,56
1115,Zn-65,245,days,49
1115,Ni-65,2.56,hours,16
1120,Sc-46,83.9,days,100
1120,Bi-214,19.7,minutes,17
1122,Ta-182,115,days,34
1140,I-135,6.7,hours,37
1173.2,Co-60,5.26,years,100
1210,Y-91,58.8,days,0.3
1274.5,Na-22,2.6,years,100
1278,Eu-154,16,years,37
1280,I-135,6.7,hours,34
1292,Fe-59,45,days,44
1293,In-116m,54,minutes,80
1293,Ar-41,1.83,hours,99
1308,Ca-47,4.53,days,74
1332.5,Co-60,5.26,years,100
1350,Mg-28,21,hours,70
1369,Na-24,15,hours,100
1380,Ho-166,26.9,minutes,0.9
1408,Eu-152,12,years,22
1426,Cs-138,32.2,minutes,73
1434,V-52,3.76,minutes,100
1460,K-40,1290000000,years,11
1481,Ni-65,2.56,hours,25
1524,K-42,12.4,hours,18
1570,Pr-142,19.2,hours,3.7
1596,La-140,40.22,hours,96
1600,Cl-38,37.3,minutes,38
1692,Sb-124,60,days,50
1764,Bi-214,19.7,minutes,17
1780,Al-28,2.31,minutes,100
1811,Mn-56,2.58,hours,29
2614,Tl-208,3.1,minutes,100
2754,Na-24,15,hours,100
6130,N-16,7.2,seconds,69
7110,N-16,7.2,seconds,5
